"Student","Gender","Age","Education","Area","Taste","Fattiness","Salt","Spreadability","Appearance","Recycling","Bio-content","ID"
5065623,2,28,4,1,3,4,3,3,3,4,5,14983
5065623,2,20,3,4,4,5,3,5,4,3,3,14971
5065623,1,33,5,2,5,4,5,5,5,4,5,14959
5065623,2,65,3,3,4,4,5,4,4,5,5,14947
5065623,1,56,4,2,2,3,3,2,3,4,4,14935
5065623,1,48,4,3,2,3,2,4,6,5,5,14923
5065623,1,62,4,3,2,1,2,5,5,5,4,14911
5065623,2,52,4,2,4,4,3,3,2,3,3,14899
5065623,2,38,3,2,3,4,4,2,4,3,4,14887
5065623,2,61,4,3,3,2,3,5,3,5,3,14875
5065623,1,18,4,3,1,3,2,5,4,4,4,14863
5065623,1,18,4,2,3,3,3,4,5,4,4,14851
5065623,1,47,4,1,4,4,3,3,4,4,4,14839
5065623,1,18,4,4,2,2,3,4,5,6,4,14827
5065623,1,51,4,3,3,3,3,4,3,3,4,14815
5065623,1,60,4,3,3,2,3,4,3,4,5,14803
5065623,2,34,4,2,3,3,2,5,4,5,3,14791
5065623,1,36,4,1,3,2,3,5,5,5,4,14779
5065623,2,24,3,3,6,4,4,6,3,3,3,14767
5065623,2,51,3,2,5,4,3,3,4,5,4,14755
5065623,2,65,3,2,4,5,4,4,5,6,3,14743
5065623,2,28,2,2,4,4,5,3,5,6,3,14731
5065623,1,49,4,3,2,4,4,2,5,6,4,14719
5065623,2,47,3,3,5,5,4,4,4,3,4,14707
5065623,1,40,4,3,6,3,4,5,5,5,5,14695
5065623,2,58,4,3,6,3,3,4,3,4,5,14683
5065623,2,18,4,4,4,2,4,4,5,4,6,14671
5065623,1,42,4,1,2,4,3,1,2,4,6,14659
5065623,1,65,3,2,2,4,4,2,2,5,7,14647
5065623,2,65,5,3,4,4,4,3,5,4,5,14635
5065623,1,65,4,2,6,3,4,5,6,5,5,14623
5065623,2,34,3,2,5,5,4,4,5,3,3,14611
5065623,2,21,4,3,4,3,2,6,3,4,2,14599
5065623,2,42,2,3,5,6,5,2,5,3,3,14587
5065623,2,41,4,3,5,5,4,4,4,4,5,14575
5065623,1,47,4,3,2,3,2,6,5,5,6,14563
5065623,2,38,2,2,5,5,5,3,5,2,4,14551
5065623,2,65,4,3,4,3,3,5,3,6,4,14539
5065623,2,32,2,2,7,6,6,3,5,4,4,14527
5065623,1,61,4,2,3,3,3,4,5,5,5,14515
5065623,2,65,4,3,4,4,5,3,5,5,4,14503
5065623,2,57,3,3,5,5,5,3,4,3,4,14491
5065623,1,18,3,1,5,5,4,3,4,4,3,14479
5065623,2,55,5,2,4,4,4,4,3,5,5,14467
5065623,2,65,2,2,5,5,4,3,3,5,5,14455
5065623,1,40,4,2,2,3,3,5,4,3,3,14443
5065623,2,38,3,2,3,4,4,3,4,4,4,14431
5065623,2,39,4,3,4,4,4,4,3,3,4,14419
5065623,2,40,3,3,4,5,4,3,5,6,7,14407
5065623,1,39,4,1,4,4,4,4,2,2,6,14395
5065623,2,65,2,2,4,5,5,5,5,5,3,14383
5065623,1,56,3,3,3,4,4,3,4,5,6,14371
